,Unnamed: 0,data_id,context,response_num,response,context_last,rake_phrases
31,0,20,"believe it or not , tea is the most popular beverage in the world after water .",0,"well , people from asia to europe all enjoy tea .","believe it or not , tea is the most popular beverage in the world after water .",enjoy tea; well; people; europe; asia
32,0,21,"believe it or not , tea is the most popular beverage in the world after water . _eos well , people from asia to europe all enjoy tea .",0,right .," well , people from asia to europe all enjoy tea .",right
33,0,21,"believe it or not , tea is the most popular beverage in the world after water . _eos well , people from asia to europe all enjoy tea .",1,and china is the homeland of tea .," well , people from asia to europe all enjoy tea .",tea; homeland; china
34,0,22,"believe it or not , tea is the most popular beverage in the world after water . _eos well , people from asia to europe all enjoy tea . _eos right . and china is the homeland of tea .",0,"yes , chinese people love drinking tea so much .", right . and china is the homeland of tea .,yes; much
35,0,22,"believe it or not , tea is the most popular beverage in the world after water . _eos well , people from asia to europe all enjoy tea . _eos right . and china is the homeland of tea .",1,some even claim they ca n't live without tea ., right . and china is the homeland of tea .,live without tea; even claim; ca n
36,0,23,"believe it or not , tea is the most popular beverage in the world after water . _eos well , people from asia to europe all enjoy tea . _eos right . and china is the homeland of tea . _eos yes , chinese people love drinking tea so much . some even claim they ca n't live without tea .",0,do you know there are several catagories of chinese tea ?," yes , chinese people love drinking tea so much . some even claim they ca n't live without tea .",several catagories; chinese tea; know
37,0,24,"believe it or not , tea is the most popular beverage in the world after water . _eos well , people from asia to europe all enjoy tea . _eos right . and china is the homeland of tea . _eos yes , chinese people love drinking tea so much . some even claim they ca n't live without tea . _eos do you know there are several catagories of chinese tea ?",0,"yes , i believe there are green teas , black teas and scented teas .", do you know there are several catagories of chinese tea ?,scented teas; green teas; black teas; yes; believe
38,0,24,"believe it or not , tea is the most popular beverage in the world after water . _eos well , people from asia to europe all enjoy tea . _eos right . and china is the homeland of tea . _eos yes , chinese people love drinking tea so much . some even claim they ca n't live without tea . _eos do you know there are several catagories of chinese tea ?",1,any others ?, do you know there are several catagories of chinese tea ?,others
39,0,25,"believe it or not , tea is the most popular beverage in the world after water . _eos well , people from asia to europe all enjoy tea . _eos right . and china is the homeland of tea . _eos yes , chinese people love drinking tea so much . some even claim they ca n't live without tea . _eos do you know there are several catagories of chinese tea ? _eos yes , i believe there are green teas , black teas and scented teas . any others ?",0,"well , have you ever heard of oulong tea and compressed tea ?"," yes , i believe there are green teas , black teas and scented teas . any others ?",oulong tea; ever heard; compressed tea; well
40,0,26,"believe it or not , tea is the most popular beverage in the world after water . _eos well , people from asia to europe all enjoy tea . _eos right . and china is the homeland of tea . _eos yes , chinese people love drinking tea so much . some even claim they ca n't live without tea . _eos do you know there are several catagories of chinese tea ? _eos yes , i believe there are green teas , black teas and scented teas . any others ? _eos well , have you ever heard of oulong tea and compressed tea ?",0,"oh , yeah ."," well , have you ever heard of oulong tea and compressed tea ?",yeah; oh
41,0,26,"believe it or not , tea is the most popular beverage in the world after water . _eos well , people from asia to europe all enjoy tea . _eos right . and china is the homeland of tea . _eos yes , chinese people love drinking tea so much . some even claim they ca n't live without tea . _eos do you know there are several catagories of chinese tea ? _eos yes , i believe there are green teas , black teas and scented teas . any others ? _eos well , have you ever heard of oulong tea and compressed tea ?",1,oulong tea is good for one 's health .," well , have you ever heard of oulong tea and compressed tea ?",oulong tea; one; health; good
42,0,26,"believe it or not , tea is the most popular beverage in the world after water . _eos well , people from asia to europe all enjoy tea . _eos right . and china is the homeland of tea . _eos yes , chinese people love drinking tea so much . some even claim they ca n't live without tea . _eos do you know there are several catagories of chinese tea ? _eos yes , i believe there are green teas , black teas and scented teas . any others ? _eos well , have you ever heard of oulong tea and compressed tea ?",2,is n't it ?," well , have you ever heard of oulong tea and compressed tea ?",n
